Unnamed: 0,Affiliate_id,Affiliate_name,Address,City,State,Zip,Country,Website,Phone,Latitude,Longitude,Count_x,Name_x,Overall_percentile_x,Count_y,Name_y,Overall_percentile_y
47,87,Humphreys CrossFit,"Fitness Annex, Building 111",APO,AP,96271,"Korea, Republic of",http://www.humphreys-crossfit.com/,010-2671-7343,,,20,Zach Hawkins,97.8696,22,Angela Walter,93.4484
48,88,CrossFit Lugo,Via Puccini n°1,Lugo (Ra),Italy,,Italy,http://crossfitlugo.blogspot.com/,(335) 668-4815,44.4253,11.9028,,,,,,
49,89,CrossFit Hinesville,1875 EG Miles Parkway,Hinesville,GA,31313,United States,http://www.crossfithinesville.com/,(912) 385-3837,31.8469,-81.5959,3,Kris Johanson,77.0853,5,Janie Diggs,9.329
50,90,KNB CrossFit,Camp Patriot / KNB,FPO,AE,9337,Kuwait,FALSE,DSN 3188391367,,,,,,,,
51,91,CrossFit Pace Performance,41 John Street,Babylon,NY,11702,United States,http://paceperformance.net/,(631) 521-9158,40.7022,-73.3178,16,Kevin Kennedy,99.6076,10,Jessica Fabrizio,92.1201
52,92,CrossFit Credence,3020 Broadway Ave. N,Rochester,MN,55906,United States,http://CrossFitcredence.com,(507) 261-7696,44.0555,-92.4537,19,David Timm,96.7149,18,Brittany McPhail,94.0759
53,93,CrossFit 7220,411 S. 20th Street,Laramie,WY,82070,United States,http://crossfit7220.com/,(307) 760-3132,41.3087,-105.5689,37,Kyle Bogner,92.133,28,Christa Munari,98.0374
54,94,FTX CrossFit,1010 W. Geneva RD,Wheaton,IL,60187,United States,http://www.ftxcrossfit.com/,(630) 981-4964,41.8874,-88.1221,31,Patrick Marshall,93.2032,23,Jorie Fanter,96.2689
55,95,CrossFit Vie,112 College Road SCCC Field House,Loch Sheldrake,NY,12759,United States,http://crossfitvie.wordpress.com/,(845) 434-5750 x4434,,,,,,,,
56,98,CrossFit Minotaure,1999 Nobel #3,Sainte-Julie,QC,J3E 1Z7,Canada,http://www.crossfitminotaure.ca/,(514) 266-6191,45.578,-73.3267,19,Charles Cyr,92.1707,6,Amélie Verret,98.8694
57,99,CrossFit DGA,709 Firetower Rd,Dublin,GA,31021,United States,http://crossfitdga.com/,(478) 290-8885,32.487,-82.9217,14,Eric Bland,96.9137,17,Brigett Cleveland,94.8587
58,101,Deka CrossFit,74 boul. de la Seigneurie unit 11,Blainville,QC,J7C 4N1,Canada,http://www.dekacrossfit.com/,(450) 806-3352,45.6741,-73.8611,54,Samuel Cournoyer,99.9096,21,Pascale Leblanc,99.7532
59,106,CrossFit Westgate,1/60 Ablemarle Street,Williamstown North,VIC,3016,Australia,http://www.crossfitwestgate.com.au/,(041) 555-1445,-37.8502,144.8594,19,Michael Nemeth,9.143,11,Teegan Goding,90.4087
60,112,CrossFit Kalos Sthenos,"26620 Valley Center Dr, #105",Canyon Country,CA,91351,United States,http://www.crossfitkalossthenos.com/,(661) 373-7430,34.4209,-118.504,4,John Devitt,79.6245,6,Ari Slauson,9.1477
61,114,CrossFit 616,"2430 Turner Avenue, Suite A",Grand Rapids,MI,49544,United States,http://www.crossfit616.com/,(616) 780-8595,43.0076,-85.6782,43,Zachary Cox,98.9914,23,Alyssa Divens,91.8474
62,116,CrossFit Maitland,219 High Street,Maitland,NSW,2320,Australia,http://www.crossfitmaitland.com.au/,(042) 944-3204,-32.7396,151.562,36,Matthew Redgrove,96.5346,24,Simone Bottrill,93.3707
63,117,CrossFit Wilson,2804 Forest Hills Rd,Wilson,NC,27893,United States,http://www.crossfitwilson.com/,(252) 230-7823,35.709,-77.9525,35,Austin Aycock,96.4506,26,April Walker,94.4651
64,118,CrossFit Jerusalem,George Washington Street 6,Jerusalem,Israel,91002,Israel,http://www.crossfitjerusalem.com/,(011-972) 54-5250576,31.7733,35.2211,7,Ori Shpigler,91.1308,5,Rozit Tamir,82.3648
65,119,CrossFit Chatswood,31/28 Barcoo St.,Chatswood,NSW,2069,Australia,http://www.crossfitchatswood.com/,(042) 105-6635,-33.7846,151.1961,24,Luke Preston,98.9516,7,Kristine Telfer,95.6544
66,120,CrossFit USU,825 E 700 N,Logan,UT,84322,United States,FALSE,(435) 754-8024,,,,,,,,
67,121,CrossFit 417,5108 N 22nd Street,Ozark,MO,65721,United States,http://www.crossfit417.com/,(417) 380-3195,37.0631,-93.2326,26,Tyler Christophel,99.9702,16,Christine Kolenbrander,99.8274
68,122,Gardens CrossFit,4098 PGA Blvd,Palm Beach Gardens,FL,33410,United States,http://www.gardenscrossfit.com/,(561) 630-3118,26.8424,-80.0988,25,Mitchell Coate,94.6754,16,Kristen Geist,96.1421
69,123,CrossFit LBC,212 Bristol Pike,Bristol,PA,19007,United States,http://www.crossfitlbc.com/,(610) 849-6448,40.1089,-74.8568,16,Ron Martino,96.9419,7,Maureen Bernard,83.8355
70,124,CrossFit Explosion,18039 SW Lower Boones Ferry Rd,Portland,OR,97224,United States,http://www.crossfitexplosionpdx.com/,(503) 995-4905,45.392,-122.7508,20,Hector Alcayde,97.0301,18,Alyssa Olson,88.541
71,125,Cannon CrossFit,5907 Star Lane,Houston,TX,77057,United States,http://www.cannoncrossfit.com/,(309) 275-3036,29.7271,-95.4826,2,Daniel Zeplain,48.4127,1,Sabrina Tamraz,88.9915
72,126,CrossFit Train,2031 Bryant Street,Denver,CO,80211,United States,http://www.crossfittrain.com/,(720) 537-1433,39.7482,-105.0192,17,Andre Whitt,81.0606,16,Brooke Bergeson,97.6136
73,128,CrossFit SA1,"Unit 17, SA1 Business Park
Langdon Road",Swansea,Wales,SA1 8QY,United Kingdom,http://www.crossfit-sa1.com/,7595520601,51.6203,-3.9218,23,Leigh Bevan,99.3556,9,Sara Gray,72.8943
74,131,CrossFit North Pasadena,3636 E. Colorado Blvd.,Pasadena,CA,91107,United States,http://www.crossfitnorthpasadena.com/,(626) 617-6037,34.1459,-118.0753,16,Jordan Hayes,95.0539,12,Corina Powell,94.0992
75,132,CrossFit Camp Mabry,"2200 W. 35th Street, Bldg 75",Austin,TX,78763,United States,http://www.crossfitcampmabry.com/,(512) 810-2230,,,6,Erik Alejos,91.8895,3,Jaclyn Beerens,89.77
76,135,CrossFit Harford,1809 Fashion Ct. Suite 102,Joppa,MD,21085,United States,http://www.crossfitharford.com,(443) 456-6405,39.444,-76.3211,4,Eric Reinbold,75.3755,3,Shelby Stalnaker,94.8897
77,136,CrossFit Napoli,Via Francesco Paolo Tosti 16,Napoli,Italy,80100,Italy,http://www.crossfitnapoli.com/,3.93382E+11,40.844,14.2201,1,marco marzachi,7.9218,,,
78,139,CrossFit 2232,1131 Main Street,Bryson City,NC,28713,United States,http://www.crossfit2232.com,(828) 736-3620,35.4326,-83.4305,13,Tyler Klipa,98.8436,12,Brook Stillman,68.5496
79,140,Hardbat CrossFit,"70 Aleph Drive, Suite B",Newark,DE,19702,United States,http://www.hardbatcrossfit.com/,(484) 256-0465,39.6446,-75.729,15,Chris Killian,99.8745,21,Cassandra Niemela,95.9772
80,142,Rocket CrossFit,5720 Rainier Ave. S,Seattle,WA,98118,United States,http://www.rocketcrossfit.com/,(206) 853-9181,47.5506,-122.2773,11,Jordan Taylor,95.7058,7,Shalimar Gonzales,83.3608
81,143,CrossFit Diamond Valley,1b 266 Bolton Street,Melbourne,VIC,3095,Australia,http://crossfitdiamondvalley.com/,+61 0412237344,-37.7204,145.1381,26,Samuel Pinchen,9.6215,26,Lucy Savona,93.3811
82,144,CrossFit Conway,1195 South Harkrider Street,Conway,AR,72032,United States,http://www.crossfitconway.com/,(501) 514-1375,35.0592,-92.425,36,Kevin Wyzgoski,96.2959,35,Merissa Beard,95.7494
83,148,CrossFit Evoke,6925 Farmdale Ave,North Hollywood,CA,91605,United States,http://www.crossfitevoke.com/,(818) 764-1392,34.1971,-118.3812,13,Thomas Trippany,89.1876,18,Stephanie Mendoza,84.6951
84,149,RDAS CrossFit,Tweedside Park. Unit 8F,Tweedbank,Galashiels,TD1 3TD,United Kingdom,http://www.rdasgym.co.uk/,4.47903E+11,55.6038,-2.7519,17,Chris Cook,80.3455,23,Siobhan Miller,9.0131
85,150,CrossFit MTS,"Unit 10, 27 Beaverhall Road",Edinburgh,Scotland,EH7 4JE,United Kingdom,http://crossfitmts.co.uk/,0131 557 0520,55.966,-3.1931,25,Sam Cottrell,97.1731,20,Rosa Atkinson,93.9473
86,152,GETFIT CrossFit,"Lot 19990, Ground Floor, Taman Alam
Jalan Telanai",Beribi Gadong,Brunei Darussalam,BE1118,Brunei Darussalam,http://getfitcrossfit.com/,6738870996,4.8786,114.893,14,Husni Damit,85.2091,5,Zed Sani,78.5431
87,154,Minuteman CrossFit,25 Haverhill St,Reading,MA,1867,United States,http://www.minutemancrossfit.com/,(603) 285-3438,,,,,,,,
88,156,CrossFit Rifles,E Street (Camp Geiger),Camp Lejeune,NC,28542,United States,http://crossfitrifles.blogspot.com/,(910) 449-0370,,,,,,,,
89,158,CrossFit Herat,TF Pladin / CEXC,Camp Stone,APO AE,,Afghanistan,FALSE,(079) 856-4886,,,,,,,,
90,161,CrossFit QDA,391 Washington Street,Buffalo,NY,14203,United States,https://qdathletics.com/,(716) 553-6003,42.8849,-78.8729,14,Joshua Stewart,94.5175,24,Shana Maldonado,95.3765
91,162,CrossFit Sudbury,1351-E Kelly Lake Rd. Unit 7,Sudbury,ON,P3E 5P4,Canada,http://www.crossfitsudbury.com/,(705) 521-4790,46.4649,-81.0299,6,Adam Ball,91.1707,10,Tara Thall,88.5039
92,164,CrossFit Novem,1735 Howard Street,Philadelphia,PA,19122,United States,http://www.crossfitnovem.com,(215) 291-2968,39.9763,-75.1349,28,Anthony Grecco,96.1098,10,Diana Lamberti,98.4534
93,165,Reebok CrossFit Almere,Televisieweg 64,Almere,Flevoland,1322 AM,Netherlands,http://www.crossfitalmere.nl/,31614377930,52.35,5.1805,90,Junior Edelman,94.3479,55,Channa Cloos,95.512
94,167,XS CrossFit,6522 E Ponderosa Drive,Parker,CO,80138,United States,http://xscrossfit.com/,(303) 910-0833,39.5399,-104.766,37,Ken Gross,87.1385,26,Miranda Harris,86.1192
95,168,CrossFit 3000 South Melbourne,82-86 Clark Street,South Melbourne,VIC,3205,Australia,http://crossfit3000.com/,61401015711,-37.8301,144.9604,14,Miguel Silva,93.7859,6,Gabrielle Dubois,88.4693
96,173,Eternity CrossFit,"32242 Paseo Adelanto, Suite E",San Juan Capistrano,CA,92675,United States,http://www.eternitycrossfit.com/pages/home,(949) 291-7314,33.4937,-117.6645,14,Gary Villegas,87.776,6,Kelly Abney,99.237
97,174,CrossFit South Rockland,37 West Jefferson Ave.,Pearl River,NY,10965,United States,http://www.amrapfitness.com/,(845) 825-2230,41.0567,-74.0231,11,Raymondo Traitz,98.3417,7,Nataliya Olifer,89.1443
98,175,CrossFit True,11 Overlook Dr,Hamden,CT,6514,United States,http://www.true-athletics.com/,(203) 448-7745,41.3999,-72.9198,13,Ben Raccio,90.1036,9,Monique Beauchamp,91.3641
99,177,Fuerza CrossFit,"Calle 83 #28A-05 Bodega #2, Barrio El Trebol",Manizales,Caldas,,Colombia,http://fuerzacrossfit.com/,11575860003,5.0703,-75.5138,,,,,,
100,178,CrossFit 6330,70 Lion St,Albany,WA,6330,Australia,http://crossfit6330.com.au/,(089) 842-2762,-35.0053,117.8722,9,Nathan Draper,8.5561,11,Tegan Kettle,7.0453
101,179,Reebok CrossFit Loreto,San Jeronimo 240; Col. Loreto y campamento; Del. Alvaro Obregon,Mexico City,DF,D.F. C.P. 01000,Mexico,FALSE,01 55 53 39 56 74,19.3349,-99.1988,,,,,,
102,180,CrossFit Industrious,21609 Hwy 99 Ste C,Lynnwood,WA,98036,United States,http://www.crossfitindustrious.com,(206) 755-6290,47.803,-122.3293,62,Andre Jordan,99.9553,62,Tia Wright,99.9629
103,181,C4 CrossFit,"20527 FM 1093, #C6",Richmond,TX,77407,United States,http://c4crossfit.com/,(713) 254-6866,29.5764,-95.7652,25,Kenny Ochoa,99.3923,13,Aida Koepplinger,98.8771
104,182,CrossFit Athletic Academy,1720 Church Street,Holbrook,NY,11741,United States,FALSE,(631) 334-7893,40.7704,-73.0688,23,Christian Harris,99.883,27,Emma Ferreira,99.7126
105,183,CrossFit Lewisburg,532 N. Derr Drive,Lewisburg,PA,17837,United States,http://www.crossfitlewisburg.com,(570) 412-1412,40.9685,-76.8923,22,John Rowe,86.6159,29,Jody Yost,89.2789
106,185,CrossFit North Arlington,608 E. Front St.,Arlington,TX,76011,United States,http://crossfitnortharlington.com/,(214) 215-5393,32.7375,-97.1013,,,,,,
107,187,CrossFit of Fremont,37330 Cedar Boulevard,Newark,CA,94560,United States,http://www.CrossFitoffremont.com,(510) 745-7404,37.541,-122.0206,22,Alex Duff,96.6872,19,Isabelle Castillo,93.3259
108,190,CrossFit Montgomery,41 East Railroad Street,Montgomery,AL,36104,United States,http://www.crossfitmontgomery.com/,(877) 907-4141,32.3858,-86.3098,14,Kyle Brocious,86.0566,6,Erika Impagliatelli,80.1959
109,191,New London CrossFit,"436 Broad Street, Unit B",New London,CT,6320,United States,http://www.newlondoncrossfit.com,(203) 927-0025,41.3627,-72.1151,21,Michael Penta,97.0812,11,Erin Blette,95.8978
110,192,Alexandria Fire Department CrossFit,1108 Jefferson Street-PDC,Alexandria,VA,22314,United States,FALSE,(703) 838-4620,,,,,,,,
111,194,Letrono CrossFit,1754 South 750 West,Syracuse,UT,84075,United States,http://www.letronocrossfit.com/,(801) 294-6777,41.0884,-112.0408,45,Troy Christopulos,92.1952,25,Kristie Price,87.4
112,195,CrossFit Silver Tiger, 50 Parker Road,Wakerfield,MA,1880,United States,http://crossfitsilvertiger.com/,(781) 486-3831,42.5064,-71.0879,,,,,,
113,196,CrossFit Takeover,1461 London Bridge Road,Virginia Beach,VA,23453,United States,http://www.crossfittakeover.com/,(310) 972-0995,36.7898,-76.0646,61,Aaron Harold,98.3146,42,Cayla Haney,98.0192
114,197,CrossFit Hub,"50 Playfair Rd, #01-01/02",Singapore,,367995,Singapore,http://www.CrossFitHub.com,84223062,1.3343,103.8867,5,Patrick Hall,64.1967,,,
115,198,NHB CrossFit,"414 W Grand Parkway South, Suite 197",Katy,TX,77494,United States,https://www.nhbcrossfit.com/,(281) 838-4034,29.7753,-95.7789,,,,,,
116,199,District CrossFit,1525 Half St. SW,Washington,DC,32034,United States,http://www.DistrictCrossFit.com,(202) 507-8255,38.8712,-77.0111,38,Sean Hutchinson,98.1184,23,Andrea May,98.5077
117,200,High Altitude CrossFit,"336 Spring Creek Circle, Unit 1",Gypsum,CO,81637,United States,http://www.highaltitudecrossfit.com,(970) 343-9040,39.6344,-106.9161,4,Jason Wheeler,85.6446,2,Nichole Lambert,30.079
118,201,CrossFit Avon,"Unit 15, Merton Road",Bristol,Bristol,BS7 8TL,United Kingdom,http://www.crossfitavon.com/,07970 493643,51.4826,-2.5869,36,James St Leger,99.7953,9,Maureen Lambe,82.9595
119,203,CrossFit Norfolk,9309 Granby Street,Norfolk,VA,23503,United States,http://www.crossfitoceanview.com,(757) 375-9291,36.946,-76.2594,16,Will Tonacchio,92.9996,17,Shannon Wheaton,83.7181
120,204,CrossFit Liverpool,Unit 18-19 Love Lane,Liverpool,England,L3 7DD,United Kingdom,http://crossfitliverpool.blogspot.com/,7407154901,53.417,-2.9947,25,Thomas Halligan,98.5895,14,Jade Mellor,90.3025
121,205,CrossFit Steele Creek,"9301 Forsyth Park Drive, Suite C",Charlotte,NC,28273,United States,http://CrossFitSteeleCreek.com,(704) 714-7775,35.136,-80.9533,22,Josh Hardin,97.8989,25,Annmaree Feuss,96.4234
122,207,CrossFit Hybrid Athletics Bridgeport,1434 State Street,Bridgeport,CT,6605,United States,http://Hybridathletics.net,(203) 913-5228,41.1702,-73.2106,15,Rob Orlando,98.8723,5,Haley Rogers,94.9165
123,210,Celtic CrossFit,"Unit 19 Queensway Meadows Industrial Estate, Estuary Road",Newport Gwent,South Wales,NP19 4SP,United Kingdom,http://www.celticcrossfit.co.uk,07866 721175,51.5704,-2.9456,32,Matthew Hill,94.9848,15,Jess Watling,87.072
124,211,TC Total CrossFit,765 Duell Road,Traverse City,MI,49686,United States,http://www.tctotalcrossfit.com/,(231) 409-7960,44.7319,-85.5908,12,Mikel Acasuso,90.739,2,Christine Watts,98.5854
125,212,CrossFit Sonora,18901 Microtronics Way,Sonora,CA,95370,United States,http://www.crossfitsonora.com,(209) 352-5575,37.9613,-120.3213,9,Seth Martinez,88.7824,16,Casey Slater,9.5594
126,213,Tamalpais CrossFit,"555 E. Francisco Blvd, Suite 19 & 20",San Rafael,CA,94901,United States,http://www.tamcrossfit.com,(415) 948-8453,37.9665,-122.5149,21,Eric Hill,90.0723,5,Sarah Poser,95.3817
127,217,CrossFit Ben Nevis,"unit 11, Ben Nevis Estate",fort william,Scotland,ph33 6pr,United Kingdom,http://www.fitnessculture.co.uk,4.4798E+11,56.8251,-5.0852,5,Remi Sharratt,69.3459,7,Mhairi Clelland,76.4718
128,219,CrossFit Kennesaw,1349 Old 41 Hwy.,Marietta,GA,30060,United States,http://www.crossfitkennesaw.com,(404) 931-8773,33.9786,-84.564,25,Ed Friedman,84.2729,23,Sam Palmer,9.9262
129,220,CrossFit Vitality,8230 Poplar Tent Road,Concord,NC,28027,United States,http://www.crossfitvitality.com,(704) 721-5555,35.409,-80.7148,22,Kyle Bernier,99.8788,10,Lisa Merrick,94.1104
